model,kx,t_nu,response,response_imag,p_max,j_max
original_sugama,0.05,16.147445461232234,2.5414305499041866e-06,-2.1670393625434468e-17,24,10
original_sugama,0.05,16.19743755244348,2.53897254676753e-06,-2.273437009456971e-17,24,10
original_sugama,0.05,16.247429643654726,2.5071289565365493e-06,-2.0044496874278493e-17,24,10
original_sugama,0.05,16.29742173486597,2.475187709485562e-06,-1.6262531212433786e-17,24,10
original_sugama,0.05,16.347413826077215,2.470982722413983e-06,-1.4924475866105215e-17,24,10
original_sugama,0.05,16.39740591728846,2.495551004183114e-06,-1.7161848152406634e-17,24,10
original_sugama,0.05,16.447398008499707,2.523599793053226e-06,-2.0775478992380412e-17,24,10
original_sugama,0.05,16.49739009971095,2.5279967097118927e-06,-2.241267306614991e-17,24,10
original_sugama,0.05,16.547382190922196,2.5046455396872294e-06,-2.0686556947283988e-17,24,10
original_sugama,0.05,16.597374282133444,2.475010498091393e-06,-1.7357778314048402e-17,24,10
original_sugama,0.05,16.64736637334469,2.4651652309008746e-06,-1.5570369455960802e-17,24,10
original_sugama,0.05,16.697358464555933,2.4817360757679196e-06,-1.6909720761664693e-17,24,10
original_sugama,0.05,16.747350555767177,2.5068771957190467e-06,-2.0021765770099777e-17,24,10
original_sugama,0.05,16.797342646978425,2.5158619777660265e-06,-2.1994040913094126e-17,24,10
original_sugama,0.05,16.84733473818967,2.500026957140287e-06,-2.1092626346485417e-17,24,10
original_sugama,0.05,16.897326829400914,2.4738361328813036e-06,-1.830096594103074e-17,24,10
original_sugama,0.05,16.947318920612158,2.4604513681757972e-06,-1.6286104102132742e-17,24,10
original_sugama,0.05,16.997311011823406,2.4701185807950856e-06,-1.6876561469051706e-17,24,10
original_sugama,0.05,17.04730310303465,2.491493067578829e-06,-1.9427810204671545e-17,24,10
original_sugama,0.05,17.097295194245895,2.5031409583688942e-06,-2.15340536585186e-17,24,10
original_sugama,0.05,17.14728728545714,2.4936454270841716e-06,-2.130662949978267e-17,24,10
original_sugama,0.05,17.197279376668387,2.4715052441273623e-06,-1.908409419703225e-17,24,10
original_sugama,0.05,17.24727146787963,2.4563219155186964e-06,-1.701660270731723e-17,24,10
original_sugama,0.05,17.297263559090876,2.460310995698432e-06,-1.7011880953585624e-17,24,10
original_sugama,0.05,17.34725565030212,2.4775367094901755e-06,-1.8995308481640537e-17,24,10
original_sugama,0.05,17.397247741513368,2.490291232213005e-06,-2.1077521330566554e-17,24,10
original_sugama,0.05,17.447239832724613,2.4858877930022835e-06,-2.1366931897015977e-17,24,10
original_sugama,0.05,17.497231923935857,2.4679825619209295e-06,-1.97047250964444e-17,24,10
original_sugama,0.05,17.547224015147105,2.452372286875073e-06,-1.7724891306259516e-17,24,10
original_sugama,0.05,17.59721610635835,2.4519266867544766e-06,-1.727678665627968e-17,24,10
original_sugama,0.05,17.647208197569594,2.464989749650351e-06,-1.871812178348827e-17,24,10
original_sugama,0.05,17.697200288780838,2.4776584342634516e-06,-2.066002815351547e-17,24,10
original_sugama,0.05,17.747192379992086,2.4771270940635997e-06,-2.1321335737098097e-17,24,10
original_sugama,0.05,17.79718447120333,2.463324526493329e-06,-2.0175868561790826e-17,24,10
original_sugama,0.05,17.847176562414575,2.4483059401408974e-06,-1.8380644397878245e-17,24,10
original_sugama,0.05,17.89716865362582,2.444603900474385e-06,-1.763129887017765e-17,24,10
original_sugama,0.05,17.947160744837067,2.453757210847887e-06,-1.8582315270519313e-17,24,10
original_sugama,0.05,17.99715283604831,2.4654854340775703e-06,-2.030362035184626e-17,24,10
original_sugama,0.05,18.047144927259556,2.467702725937079e-06,-2.1202248689808548e-17,24,10
original_sugama,0.05,18.0971370184708,2.457650262191873e-06,-2.0514922993088073e-17,24,10
original_sugama,0.05,18.147129109682048,2.4439229461864565e-06,-1.896620844863668e-17,24,10
original_sugama,0.05,18.197121200893292,2.4380213932662248e-06,-1.8035874200247042e-17,24,10
original_sugama,0.05,18.247113292104537,2.443694679494938e-06,-1.8567390631672778e-17,24,10
original_sugama,0.05,18.297105383315785,2.4539255648073633e-06,-2.002258630741804e-17,24,10
original_sugama,0.05,18.34709747452703,2.4579082960652167e-06,-2.1046625617699818e-17,24,10
original_sugama,0.05,18.397089565738273,2.4511165272695687e-06,-2.0742211003065057e-17,24,10
original_sugama,0.05,18.44708165694952,2.439105643607198e-06,-1.9470960520765068e-17,24,10
original_sugama,0.05,18.49707374816077,2.4319073170025827e-06,-1.8463681621603026e-17,24,10
original_sugama,0.05,18.54706583937201,2.4346309861152527e-06,-1.8649766627895396e-17,24,10
original_sugama,0.05,18.597057930583254,2.443057712327744e-06,-1.9822322572396497e-17,24,10
