t,phi_zonal_real
8.581761169433593750e+01,1.552116713687341136e-04
8.601757812500000000e+01,1.492878986819544103e-04
8.621754455566406250e+01,1.419812240670506750e-04
8.641751098632812500e+01,1.334279555315764519e-04
8.661747741699218750e+01,1.237828093180195989e-04
8.681744384765625000e+01,1.132160722824057637e-04
8.701741027832031250e+01,1.019105387399925230e-04
8.721737670898437500e+01,9.005839627996116772e-05
8.741734313964843750e+01,7.785804624783523159e-05
8.761730957031250000e+01,6.551088769072714634e-05
8.781727600097656250e+01,5.321812324169991046e-05
8.801724243164062500e+01,4.117767410025552371e-05
8.821720886230468750e+01,2.958116048788247463e-05
8.841717529296875000e+01,1.861097307565062807e-05
8.861714172363281250e+01,8.437621786883441334e-06
8.881710815429687500e+01,-7.828290316270897332e-07
8.901707458496093750e+01,-8.910884026772054401e-06
8.921704101562500000e+01,-1.582579290276033069e-05
8.941700744628906250e+01,-2.142704053847351459e-05
8.961697387695312500e+01,-2.563590069859574225e-05
8.981694030761718750e+01,-2.839631727437508409e-05
9.001690673828125000e+01,-2.967568463986552810e-05
9.021687316894531250e+01,-2.946505320314487221e-05
9.041683959960937500e+01,-2.777899116449082176e-05
9.061680603027343750e+01,-2.465524072815081612e-05
9.081677246093750000e+01,-2.015382862304220619e-05
9.101673889160156250e+01,-1.435580643968057489e-05
9.121670532226562500e+01,-7.361856385744305058e-06
9.141667175292968750e+01,7.096216245805197867e-07
9.161663818359375000e+01,9.724577932475126217e-06
9.181660461425781250e+01,1.953553367246314973e-05
9.201657104492187500e+01,2.998410053360082579e-05
9.221653747558593750e+01,4.090358033590920213e-05
9.241650390625000000e+01,5.212147593316494658e-05
9.261647033691406250e+01,6.346246706798454556e-05
9.281643676757812500e+01,7.475078781200785068e-05
9.301640319824218750e+01,8.581311696696019230e-05
9.321636962890625000e+01,9.648087725085668497e-05
9.341633605957031250e+01,1.065928546768344037e-04
9.361630249023437500e+01,1.159973303932327319e-04
9.381626892089843750e+01,1.245541834642692220e-04
9.401623535156250000e+01,1.321368044609034739e-04
9.421620178222656250e+01,1.386337325422125029e-04
9.441616821289062500e+01,1.439500015290565333e-04
9.461613464355468750e+01,1.480086169233776818e-04
9.481610107421875000e+01,1.507510652291429900e-04
9.501606750488281250e+01,1.521384781176387277e-04
9.521603393554687500e+01,1.521517051869697185e-04
9.541600036621093750e+01,1.507918669343775574e-04
9.561596679687500000e+01,1.480800928248720617e-04
9.581593322753906250e+01,1.440572593521952170e-04
9.601589965820312500e+01,1.387835534854668662e-04
9.621586608886718750e+01,1.323375413307766762e-04
9.641583251953125000e+01,1.248152222663951932e-04
9.661579895019531250e+01,1.163287774559240630e-04
9.681576538085937500e+01,1.070050710092910811e-04
9.701573181152343750e+01,9.698376548536495828e-05
9.721569824218750000e+01,8.641553928778569792e-05
9.741566467285156250e+01,7.545983109981815407e-05
9.761563110351562500e+01,6.428269345008716655e-05
9.781559753417968750e+01,5.305418795749932721e-05
9.801556396484375000e+01,4.194608605691515558e-05
9.821553039550781250e+01,3.112904232386770387e-05
9.841549682617187500e+01,2.077026067759241270e-05
9.861546325683593750e+01,1.103071223706630101e-05
9.881542968750000000e+01,2.062880665339543570e-06
9.901539611816406250e+01,-5.991833981928677906e-06
9.921536254882812500e+01,-1.300512753602655125e-05
9.941532897949218750e+01,-1.886393174389123831e-05
9.961529541015625000e+01,-2.347200590835851744e-05
9.981526184082031250e+01,-2.675173995346156986e-05
