model,coordinate,kx,t_nu,abscissa,normalized_distribution,p_max,j_max
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.8,0.13680407767245384,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.725,0.17030535490509316,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.6500000000000001,0.2096185403110635,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.575,0.2552292867962749,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.5,0.30749589097070656,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.425,0.36654185542967865,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.35,0.4321251421535126,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.2750000000000001,0.5035033897222286,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.2000000000000002,0.5793211877030976,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.125,0.6575465092730659,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.05,0.7354782002577926,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.9750000000000001,0.8098365447819867,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.8999999999999999,0.8769370201069122,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.8250000000000002,0.9329362725472956,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.75,0.9741315052564018,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.6750000000000003,0.9972914796876217,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.6000000000000001,1.0,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.5249999999999999,0.981001523220795,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.4500000000000002,0.940554424805294,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.375,0.880822711940522,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.30000000000000027,0.8063719329827012,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.2250000000000001,0.724854087194516,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.1499999999999999,0.6478139920462324,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-0.07500000000000018,0.5907011655735264,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.0,0.5692682190876497,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.07499999999999973,0.5907011655732015,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.1499999999999999,0.647813992045669,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.2250000000000001,0.7248540871938202,24,10
